name,enrolled,instructor,instructorImage,rating,ratingNo,reviewer,reviews,description,time,provider,catagory,subCatagory
Google Cloud Fundamentals for AWS Professionals,"87,818",Google Cloud Training,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/c9/b2a070c36c11e68cc141fab179b5aa/Google-Cloud-logo-color-850.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.7,372,"by YM,by SS","Very helpful course to understand the GCP's various offerings & Products. I enjoyed learning this course and quick labs were very helpful to have hands-on experience. Thanks for the course Coursera.,It is great course to learn more about the google cloud platform.this course clear my basic understanding about how google cloud work and how to create and manage container in kubernetes cluster.","This accelerated 6-hour course with labs introduces AWS professionals to the core capabilities of Google Cloud Platform (GCP) in the four technology pillars: networking, compute, storage, and database. It is designed for AWS Solution Architects and SysOps Administrators familiar with AWS features and setup and want to gain experience configuring GCP products immediately. With presentations, demos, and hands-on labs, participants get details of similarities, differences, and initial how-tos quickly. If you prefer to learn fast by doing, this course is for you.",Intermediate Level,Google Cloud,Computer Science,Computer Security and Networks
Industrial IoT on Google Cloud,"73,279",Google Cloud Training,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/c9/b2a070c36c11e68cc141fab179b5aa/Google-Cloud-logo-color-850.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.5,685,"by AK,by YG","It was a nice experience for me . I learnt a lot about google cloud platform and how the cloud works .Their assignments and labs were very fun and productive. This is a perfect course for a beginner.,Great Course. I was new to Google Cloud. But, the course teach well about the Google Cloud Platform. I had some problems in the Qwiklab sessions. But, I resolve them by chatting. Thank You!",Learn Industrial Internet of Things on Google Cloud,Beginner Level,Google Cloud,Computer Science,Software Development
Analysis of Algorithms,"61,705",Robert Sedgewick,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/b3/9bba1f743fd8650b0c19b9079563f2/Robert-Sedgewick.png?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.5,33,"by EG,by AK","Excellent course with very interesting and well explained topics, for those with certain background in mathematics (and, specially, in analysis and combinatorics).,This course is more about mathematic than algorithms, it teaches how to solve tricky combinatorial problems","This course teaches a calculus that enables precise quantitative predictions of large combinatorial structures. In addition, this course covers generating functions and real asymptotics and then introduces the symbolic method in the context of applications in the analysis of algorithms and basic structures such as permutations, trees, strings, words, and mappings.",Advanced Level,Princeton University,Computer Science,Algorithms
"Computer Science:  Algorithms, Theory, and Machines","70,529",Robert Sedgewick,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/b3/9bba1f743fd8650b0c19b9079563f2/Robert-Sedgewick.png?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.7,75,"by SC,by J","I really enjoyed this class - I wish it had weekly assignments like Programming with a Purpose and the Algorithms courses do. I think the Princeton CS courses are the best ones on Coursera,Good overview of algorithms and data structures. However they use an inhouse API in the provided java code with some unknown methods and the code they provide sometimes doesn't compile.","This course  introduces the broader discipline of computer science to people having basic familiarity with Java programming.  It covers the second half of our book Computer Science: An Interdisciplinary Approach (the first half is covered in our Coursera course Computer Science: Programming with a Purpose, to be released in the fall of 2018). Our intent is to demystify computation and to build awareness about the substantial intellectual underpinnings and rich history of the field of computer science.",Intermediate Level,Princeton University,Computer Science,Algorithms
Computer Science: Programming with a Purpose,"123,746",Robert Sedgewick,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/b3/9bba1f743fd8650b0c19b9079563f2/Robert-Sedgewick.png?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.7,179,"by VS,by SM","Beautiful course. I am a software developer with 10+ years of experience in programming and have never realized depth of actual MATH behind all that I do. Thank you Robert Sedgewick, you are the BEST.,This course was great for learning Java, but I believe it could have been better if it had covered the actual ""computer science"" aspect (like the anatomy of a computer, history of computing, etc.)","The basis for education in the last millennium was “reading, writing, and arithmetic;” now it is reading, writing, and computing. Learning to program is an essential part of the education of every student, not just in the sciences and engineering, but in the arts, social sciences, and humanities, as well. Beyond direct applications, it is the first step in understanding the nature of computer science’s undeniable impact on the modern world.  This course covers the first half of our book Computer Science: An Interdisciplinary Approach (the second half is covered in our Coursera course Computer Science: Algorithms, Theory, and Machines). Our intent is to teach programming to those who need or want to learn it, in a scientific context. ",Beginner Level,Princeton University,Computer Science,Software Development
Build Your First Android App (Project-Centered Course),"321,691",Dr. Virginie Galtier,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/b3/cb1ba0b52811e582646f0314e1b02c/virginie.galtier.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.2,609,"by PJ,by TY","This course is exceptionally well. This is more friendly just because it is project centered and this makes it more interactive to learn. Thanking to mam too who makes that course more interactive.,Very useful course! Answers all my questions, helps a lot to understand the whole process of mobile development! THANK YOU for the opportunity to gain valuable skills in such an easy way of study!",What you’ll achieve:,Approx. 22 hours to complete,CentraleSupélec,Computer Science,Mobile and Web Development
"Algorithms, Part I","883,799",Kevin Wayne,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/6c/66d3b58b53c41e2aadb9d78c99875d/Kevin-Wayne.png?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.9,1871,"by RB,by RM","The course focuses on Java specific implementations of algorithms, so if you're not from a Java background, you would have a little difficulty with the assignments.The course content however is great.,This is a great class. I learned / re-learned a ton. The assignments were challenge and left a definite feel of accomplishment. The programming environment and automated grading system were excellent.","This course covers the essential information that every serious programmer needs to know about algorithms and data structures, with emphasis on applications and scientific performance analysis of Java implementations. Part I covers elementary data structures, sorting, and searching algorithms. Part II focuses on graph- and string-processing algorithms.",Intermediate Level,Princeton University,Computer Science,Algorithms
"Algorithms, Part II","238,669",Robert Sedgewick,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/b3/9bba1f743fd8650b0c19b9079563f2/Robert-Sedgewick.png?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.9,290,"by IO,by MS","Pretty challenging course, but very good. Having a book is a must (at least it was for me), video lectures complement book nicely, and some topics are explained better in the Algorithms, 4th ed. book.,Essential information that every serious programmer needs to know about algorithms and data structures, with emphasis on applications and scientific performance analysis of Java implementations.","This course covers the essential information that every serious programmer needs to know about algorithms and data structures, with emphasis on applications and scientific performance analysis of Java implementations. Part I covers elementary data structures, sorting, and searching algorithms. Part II focuses on graph- and string-processing algorithms.",Intermediate Level,Princeton University,Computer Science,Algorithms
Code Yourself! An Introduction to Programming,"216,503",Dr Areti Manataki,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/89/17d8902b8b11e8a1ce470612a411f1/areti_medium.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.7,904,"by EA,by ED","for a total beginner in coding, this course was the perfect start! It was easy to understand, and easy to program (coding wit already?) Thank you so much for offering such a wonderful way to learn!,the course is what the name says it is, an introduction to programming, great course for any code beginner. Lecturer is doing amazing job and keeping the lectures interesting, easy and understandable.","Have you ever wished you knew how to program, but had no idea where to start from? This course will teach you how to program in Scratch, an easy to use visual programming language. More importantly, it will introduce you to the fundamental principles of computing and it will help you think like a software engineer.",Beginner Level,The University of Edinburgh,Computer Science,Software Development
Computer Vision Basics,"68,408",Radhakrishna Dasari,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/fb/8acaf0a9fc11e8a20a41c3ee8f713d/DSCF7751_Headshot.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.2,492,"by HK,by LM","i really liked the course, but i wish that they would also help learn the programming in MATLAB a little, needs one extra week for the programming. Had to use external tools to learn the programming.,It is a good introduction course but I think some more demo coding for matlab in the first assignments will be a good thing so we don´t have to spend a lot of time on google and on trial and error.","By the end of this course, learners will understand what computer vision is, as well as its mission of making computers see and interpret the world as humans do, by learning core concepts of the field and receiving an introduction to human vision capabilities. They are equipped to identify some key application areas of computer vision and understand the digital imaging process. The course covers crucial elements that enable computer vision: digital signal processing, neuroscience and artificial intelligence. Topics include color, light and image formation; early, mid- and high-level vision; and mathematics essential for computer vision. Learners will be able to apply mathematical techniques to complete computer vision tasks. ",Approx. 13 hours to complete,University at Buffalo,Computer Science,Algorithms
Introduction to Programming with MATLAB,"417,315",Akos Ledeczi,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/20/5428a0c2ab11e4aea44da914099906/LedecziAkos.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.8,3982,"by ZY,by DA","it is a little bit very basic for students with a background in programming but the problems specially close to the end was a little challenging which is great. overall it is a solid start with matlab,Instructor of this course Mike Fitzpatrick is a very good teacher who encourage students to do something new and interesting. I really enjoyed learning this course and learned new skills in MATLAB.","This course teaches computer programming to those with little to no previous experience. It uses the programming system and language called MATLAB to do so because it is easy to learn, versatile and very useful for engineers and other professionals. MATLAB is a special-purpose language that is an excellent choice for writing moderate-size programs that solve problems involving the manipulation of numbers. The design of the language makes it possible to write a powerful program in a few lines. The problems may be relatively complex, while the MATLAB programs that solve them are relatively simple: relative, that is, to the equivalent program written in a general-purpose language, such as C++ or Java. As a result, MATLAB is being used in a wide variety of domains from the natural sciences, through all disciplines of engineering, to finance, and beyond, and it is heavily used in industry. Hence, a solid background in MATLAB is an indispensable skill in today’s job market.",Beginner Level,Vanderbilt University,Computer Science,Software Development
Probability and Statistics: To p or not to p?,"62,759",Dr James Abdey,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/0f/691050924211e7bec495a5aaa87e90/Abdey_bio_photo.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.6,426,"by TS,by NS","I would like to thank Dr. James Abdey for his wonderful explanation of probability and statistics in a short time. I definitely learnt many things which I can make use in my further courses. Thank you,James Abdey is an excellent lecturer. He explains clearly while using a lot of examples from real life applications. I am considering to read his PhD thesis (even though I don't have insomnia :-))","We live in an uncertain and complex world, yet we continually have to make decisions in the present with uncertain future outcomes.  Indeed, we should be on the look-out for ""black swans"" - low-probability high-impact events.",Beginner Level,University of London,Data Science,Probability and Statistics
"C++ For C Programmers, Part A","216,547",Ira Pohl,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/57/d5ae53b0bb36d33988476ec25a9fd2/ira-soe.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.4,584,"by AV,by CA","was good to learn c++ advanced topics after learning the basics at my high school. it had some very essential topics that dealt with too much innovative coding. It was good learning experience.,I liked it, it costed me a little because I am not a C programmer with big experience, and this course I feel is focused on C programmers that want to know how to ""translate"" their code to C++",This course is for experienced C programmers who want to program in C++. The examples and exercises require a basic understanding of algorithms and object-oriented software.,Approx. 13 hours to complete,"University of California, Santa Cruz",Computer Science,Software Development
New Models of Business in Society,"106,533",R. Edward Freeman  ,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/69/5822b94db2f727dba8009e3caebfaa/Freeman_Boardroom_HEAD_crop.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.7,1102,"by YL,by MB","Nice Course..The way of delivering and passion of the professor for inspiring students is excellence.. it helps me to think in a better way about business & Got lot of Insights ...Thank u Professor,This course give lots of knowledge and help me to engage towards business. It gives me power to my interest and lots of thing, if I want to move or to take better step towards business. Thank you.","In this course, developed at the Darden School of Business at the University of Virginia and taught by top-ranked faculty, we will be discussing the emergence of a new story about business. This new story locates business within a societal framework. Almost every business creates or destroys value for customers, suppliers, employees, communities and society, in addition to shareholders and other financiers. A number of new models of business can be built on this idea such as corporate responsibility, philanthropy, shared value and sustainability. Profits and stakeholder value go together, and this course explains how. The final session explores the idea of how to become a stakeholder entrepreneur and create a business that makes money and makes the world a better place.",Approx. 5 hours to complete,University of Virginia,Business,Leadership and Management
